fecha,Edad,Valor,id_depa_sede,id_depa_procedencia,id_municipio_sede,id_municipio_procedencia,id_sede,id_tipo_delito,id_atencion,id_grupo_etnico,id_orientacion_sexual,id_atencion_vcm
2022-08-16,27,1,1,1,1,1,2,1,1,13,5,303
2022-08-16,86,1,4,1,22,1,6,1,1,13,3,304
2022-03-23,15,1,1,4,1,2204,2,5,1,13,3,305
2022-08-16,55,1,3,1,1601,1,1,1,1,13,5,306
2021-09-27,41,1,1,1,1,116,2,3,1,1,3,307
2022-08-16,39,1,3,1,1601,1,1,1,1,13,3,308
2022-08-16,24,1,8,1,5,111,5,1,1,1,3,309
2022-08-16,43,1,3,1,1601,1,1,1,1,13,3,310
2022-08-16,65,1,4,1,22,1,6,3,1,13,5,311
2022-08-16,65,1,4,1,22,1,6,3,1,13,5,312
2022-08-16,45,1,1,1,1,1,2,1,1,1,3,313
2022-08-16,39,1,3,21,1601,1014,1,1,1,13,5,314
2021-10-18,32,1,1,5,1,1401,2,1,1,13,5,315
2020-09-08,30,1,1,1,1,1,2,1,1,1,3,316
2022-08-17,39,1,4,5,22,1401,6,3,1,13,5,317
2020-10-22,38,1,1,1,1,105,2,1,1,13,3,318
2022-08-17,49,1,4,1,22,1,6,4,1,13,5,319
2022-08-17,55,1,3,1,1601,1,1,1,1,10,3,320
2020-10-26,47,1,1,1,1,1,2,1,1,2,3,321
2022-08-17,53,1,4,2,22,8,6,4,1,13,5,322
2022-08-17,43,1,20,1,9,108,7,1,1,13,3,323
2022-08-17,19,1,4,3,22,1602,6,4,1,13,3,324
2022-08-17,45,1,3,3,1601,1607,1,1,1,13,3,325
2022-08-17,49,1,20,20,9,,7,1,1,6,3,326
2022-08-18,59,1,3,1,1601,1,1,1,1,10,3,327
2022-08-18,20,1,1,2,1,8,2,1,1,1,3,328
2022-08-18,41,1,1,3,1,1614,2,1,1,1,3,329
2022-08-18,29,1,3,1,1601,116,1,1,1,10,3,330
2022-08-18,31,1,3,1,1601,108,1,1,1,1,3,331
2022-08-18,42,1,20,1,9,1,7,1,1,7,3,332
2022-08-19,25,1,1,20,1,9,2,1,1,13,5,333
2022-08-17,37,1,1,1,1,108,2,2,1,1,3,334
2022-08-19,69,1,1,3,1,1609,2,1,1,13,5,335
2022-08-20,36,1,20,1,9,,7,1,1,7,3,336
2022-08-19,32,1,4,4,22,22,6,4,1,13,5,337
2022-08-21,52,1,3,24,1601,2102,1,1,1,13,5,338
2022-08-21,44,1,3,19,1601,7,1,1,1,13,5,339
2021-06-26,42,1,3,20,1601,9,1,1,1,13,5,340
2022-08-21,32,1,3,2,1601,8,1,1,1,13,5,341
2022-08-21,34,1,3,1,1601,103,1,1,1,13,5,342
2022-08-21,47,1,3,1,1601,1,1,1,1,13,5,343
2022-08-21,38,1,3,4,1601,2212,1,1,1,13,5,344
2022-08-22,36,1,1,1,1,1,2,3,1,1,3,345
2021-04-15,19,1,1,1,1,108,2,1,1,1,3,346
2021-11-02,39,1,1,1,1,115,2,1,1,13,5,347
2022-06-28,28,1,1,23,1,1711,2,1,1,13,5,348
2022-08-22,42,1,4,1,22,1,6,1,1,1,3,349
2022-08-22,23,1,1,1,1,1,2,3,1,13,5,350
2022-08-22,35,1,1,1,1,1,2,1,1,1,3,351
2022-08-22,42,1,1,1,1,113,2,3,1,1,3,352
2022-08-22,44,1,4,1,22,1,6,3,1,13,3,353
2022-08-22,27,1,1,1,1,115,2,3,1,13,5,354
2022-08-22,41,1,20,17,9,608,7,3,1,1,3,355
2022-08-22,46,1,1,17,1,608,2,3,1,1,3,356
2021-05-17,50,1,1,1,1,109,2,1,1,13,5,357
2022-08-22,28,1,1,1,1,1,2,3,1,13,3,358
2021-08-18,19,1,1,1,1,1,2,1,1,1,3,359
2022-08-22,43,1,1,17,1,608,2,1,1,1,3,360
2021-06-26,32,1,1,1,1,115,2,4,1,1,3,361
2022-08-22,26,1,1,1,1,1,2,1,1,1,3,362
2022-08-23,36,1,8,1,5,108,5,1,1,1,3,363
2022-08-23,35,1,1,1,1,108,2,1,1,1,3,364
2022-08-23,36,1,1,14,1,306,2,1,1,13,3,365
2021-03-22,31,1,1,1,1,1,2,1,1,13,5,366
2022-04-18,41,1,1,1,1,108,2,1,1,13,5,367
2021-05-05,55,1,1,1,1,1,2,4,1,13,5,368
2022-08-23,29,1,8,14,5,301,5,1,1,1,3,369
2022-08-23,66,1,1,1,1,113,2,1,1,13,5,370
2021-02-07,24,1,1,1,1,102,2,1,1,1,3,371
2021-10-15,36,1,1,1,1,1,2,1,1,1,3,372
2021-02-08,42,1,1,1,1,1,2,1,1,13,5,373
2020-09-08,27,1,1,1,1,108,2,3,1,13,5,374
2020-10-22,43,1,1,1,1,115,2,3,1,13,5,375
2020-10-22,31,1,1,12,1,1501,2,4,1,13,5,376
2022-05-05,43,1,1,1,1,,2,1,1,13,3,377
2022-08-23,49,1,1,1,1,102,2,1,1,13,3,378
2022-12-29,63,1,1,1,1,1,2,4,1,13,5,379
2022-08-23,65,1,3,23,1601,1701,1,1,1,13,3,380
2022-07-22,27,1,1,20,1,9,2,1,1,13,5,381
2022-07-15,37,1,1,12,1,1501,2,1,1,13,5,382
2022-08-23,34,1,20,1,9,114,7,1,1,8,3,383
2021-06-25,53,1,1,20,1,,2,3,1,1,3,384
2022-08-23,36,1,1,1,1,105,2,1,1,1,3,385
2022-06-18,31,1,1,1,1,1,2,1,1,13,5,386
2022-08-23,34,1,20,1,9,115,7,1,1,8,3,387
2020-09-25,47,1,1,23,1,1706,2,1,1,1,3,388
2021-09-11,40,1,1,1,1,108,2,4,1,13,5,389
2022-08-23,36,1,1,23,1,1701,2,1,1,3,3,390
2022-08-23,45,1,1,8,1,5,2,1,1,1,3,391
2022-08-23,27,1,1,1,1,106,2,1,1,3,3,392
2022-08-23,37,1,1,21,1,1001,2,1,1,1,3,393
2022-08-23,23,1,1,1,1,108,2,1,1,1,3,394
2022-08-23,34,1,1,4,1,22,2,1,1,1,3,395
2022-08-23,44,1,1,1,1,102,2,1,1,1,3,396
2022-08-23,44,1,1,1,1,1,2,1,1,1,3,397
2021-11-05,42,1,1,8,1,5,2,1,1,1,3,398
2021-07-28,62,1,1,,1,,2,1,1,13,3,399
2021-07-28,62,1,1,,1,,2,1,1,13,3,400
2021-07-28,62,1,1,,1,,2,1,1,13,3,401
2021-07-28,62,1,1,,1,,2,1,1,13,3,402
2021-07-28,62,1,1,,1,,2,1,1,13,3,403
2021-07-28,62,1,1,,1,,2,1,1,13,3,404
2021-07-28,62,1,1,,1,,2,1,1,13,3,405
2021-07-28,62,1,1,,1,,2,1,1,13,3,406
2021-02-18,53,1,1,17,1,608,2,1,1,1,3,407
2021-09-22,37,1,1,17,1,608,2,1,1,1,3,408
2022-08-24,41,1,20,1,9,1,7,1,1,6,3,409
2022-08-24,41,1,20,1,9,1,7,1,1,6,3,410
2021-03-24,42,1,1,18,1,20,2,1,1,2,3,411
2022-06-07,22,1,4,4,22,2,6,5,1,13,5,412
2021-11-08,34,1,4,1,22,114,6,3,1,1,3,413
2022-04-20,28,1,1,4,1,2,2,1,1,13,3,414
2022-06-03,30,1,4,20,22,916,6,1,1,1,3,415
2022-04-23,46,1,1,1,1,113,2,1,1,3,3,416
2022-05-12,33,1,4,1,22,114,6,3,1,1,3,417
2020-11-09,41,1,4,1,22,1,6,4,1,1,3,418
2022-04-11,49,1,1,12,1,1503,2,1,1,13,5,419
2022-08-24,35,1,20,1,9,1,7,1,1,2,3,420
2022-08-24,48,1,1,1,1,1,2,1,1,1,3,421
2022-08-02,40,1,1,1,1,108,2,4,1,1,3,422
2022-08-24,47,1,4,1,22,106,6,4,1,13,5,423
2022-03-27,37,1,1,1,1,108,2,1,1,13,5,424
2022-08-24,22,1,1,1,1,108,2,1,1,13,5,425
2021-06-28,32,1,20,14,9,308,7,1,1,6,3,426
2022-08-25,28,1,8,1,5,114,5,3,1,1,3,427
2022-06-12,40,1,4,18,22,20,6,4,1,13,5,428
2022-08-25,62,1,1,1,1,108,2,1,1,13,5,429
2022-08-25,42,1,1,4,1,22,2,1,1,13,5,430
